"Item Title","Sold","Format","Start Price","End Price","Total Bids","Item Offered","End Date","Item Url"
"Ceramco Phoenix Dental Lab Porcelain Furnace Oven w/ Vacuum Pump - Fully Tested","Yes","item_listingtype_fixed_price","857.38","857.38","1","1","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=331940019745"
"ALCATEL Drytel 31 Turbo Dry High Vacuum Pump System","Yes","item_listingtype_store","995.0","800.0","1","1","2016-08-11","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=222214548795"
"lot of 4 Vacuubrand  ME8SI and ME8 Diaphragm Membrane-Dual Vacuum Pump","Yes","item_listingtype_store","800.0","800.0","1","1","2016-08-15","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=151496917049"
"Edwards RV12 Vacuum Pump A655-01-904","Yes","item_listingtype_fixed_price","950.0","800.0","1","1","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=112039547554"
"Edwards 30 E2M30 Dual Stage Rotary Vane Vacuum Pump A374-15-903","Yes","item_listingtype_fixed_price","900.0","750.0","2","2","2016-08-14","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=232045732938"
"6 X 1kg Fomblin YL 25/6 Vacuum Pump Oil (6kg Total)","Yes","item_listingtype_fixed_price","700.0","700.0","1","1","2016-08-11","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=131905266514"
"Alcatel Annecy 5400 Turbo Molecular High Vacuum Pump W/ Fan & Cables","Yes","item_listingtype_store","684.99","684.99","1","1","2016-08-15","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=222216903443"
"Welch 1402N ChemStar Vacuum Pump Tested Good","Yes","item_listingtype_fixed_price","895.0","650.0","1","1","2016-08-14","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=232017075983"
"Varian DS-602 Dual-Stage Rotary Vane High Vacuum Pump 460/1740RPM 1-PH","Yes","item_listingtype_store","795.0","650.0","1","1","2016-08-14","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=252458850502"
"JB INDUSTRIES DV-285N Platinum Vacuum Evacuation Pump 10.0 CFM *NEW IN BOX*","Yes","item_listingtype_fixed_price","649.0","649.0","1","1","2016-08-11","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=371705159073"
"Agilent Technologies IDP-3 High performance oil free  Dry scroll vacuum pump","Yes","item_listingtype_bid","150.0","639.98","1","1","2016-08-14","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=122072047934"
"Edwards RV12 Vacuum Pump W/ Edwards EMF10 Oil Mist Filter 208/230/460v 3PH","Yes","item_listingtype_store","899.0","575.0","1","1","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=112086938612"
"Agilent Technologies IDP-3 High performance oil free  Dry scroll vacuum pump","Yes","item_listingtype_bid","150.0","561.0","1","1","2016-08-11","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=122072050153"
"apollo dental vacuum pump 1 hp","Yes","item_listingtype_bid","550.0","550.0","1","1","2016-08-11","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=172296955488"
"AEC Whitlock 15HP Rotory Lobe Blower Positive Displacement Vacuum Pump","Yes","item_listingtype_store","799.99","550.0","1","1","2016-08-11","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=291757201879"
"C130546 Pfeiffer TMP071P Turbomolecular Turbo Vacuum Pump w/ NW63 DN63 ISO-K","Yes","item_listingtype_bid","500.0","520.0","1","1","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=291838453721"
"Vacuubrand MZ2C Vacuum Pump Unit w/ CVC 2 Controllers","Yes","item_listingtype_bid","49.0","510.0","1","1","2016-08-10","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=291836566268"
"NASH VACUUM PUMP #518645J MOD:SC7/7 930:MAX RPM PORTS:6  USED","Yes","item_listingtype_store","500.0","500.0","1","1","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=262461495304"
"ALCATEL-ADIXEN 2021i VACUUM PUMP-TESTED TO 8 MICRONS - ELECTRIC LAB INDUSTRIAL","Yes","item_listingtype_fixed_price","499.0","499.0","1","4","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=302038750146"
"ALCATEL-ADIXEN 2021i VACUUM PUMP-TESTED TO 8 MICRONS - ELECTRIC LAB INDUSTRIAL","Yes","item_listingtype_fixed_price","499.0","499.0","1","9","2016-08-13","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=302038750146"
"ALCATEL-ADIXEN 2021i VACUUM PUMP-TESTED TO 8 MICRONS - ELECTRIC LAB INDUSTRIAL","Yes","item_listingtype_fixed_price","499.0","499.0","1","9","2016-08-13","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=302038750146"
"PFEIFFER BALZERS TCP 121 Turbo Molecular Vacuum Pump  + Cables TCP121   (A5A)","Yes","item_listingtype_store","600.0","470.0","1","1","2016-08-14","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=322073661503"
"BECKER  U 2.190 SB VACUUM PUMP 7.5 HP 06160190006","Yes","item_listingtype_store","849.0","450.0","1","1","2016-08-15","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=262482456365"
"Anest Iwata ISP 500C Dry Scroll Vacuum Pump Major Service Kit 98882251 NIB","Yes","item_listingtype_store","459.9","439.0","1","1","2016-08-15","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=172297016399"
"Diaphragm Vacuum Pump Oil Free Dual Head 60 L/min GM-1.0A","Yes","item_listingtype_store","435.0","435.0","1","5","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191646386178"
"Yellow Jacket 93580 - SuperEvac 8 CFM Vacuum Pump","Yes","item_listingtype_store","429.0","429.0","1","1","2016-08-10","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=272334581246"
"Yellow Jacket 93580 SuperEvac 8 CFM 115V  60 Hz single phase Vacuum Pump","Yes","item_listingtype_fixed_price","428.0","428.0","2","46","2016-08-15","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191855778690"
"Yellow Jacket 93580 SuperEvac 8 CFM 115V  60 Hz single phase Vacuum Pump","Yes","item_listingtype_fixed_price","428.0","428.0","1","46","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191855778690"
"Yellow Jacket 93580 SuperEvac 8 CFM 115V  60 Hz single phase Vacuum Pump","Yes","item_listingtype_fixed_price","428.0","428.0","2","46","2016-08-14","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191855778690"
"Yellow Jacket 93580 SuperEvac 8 CFM 115V  60 Hz single phase Vacuum Pump","Yes","item_listingtype_fixed_price","428.0","428.0","1","46","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191855778690"
"Yellow Jacket 93580 SuperEvac 8 CFM 115V  60 Hz single phase Vacuum Pump","Yes","item_listingtype_fixed_price","428.0","428.0","1","46","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191855778690"
"Digitel Gamma Vacuum Ion Pump Power Supply LPC-1-US220-232-N-N 3008337","Yes","item_listingtype_store","1009.0","425.0","2","2","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=111632134970"
"E2M30 Edwards  Vacuum Pump A374-15-903 FOR PARTS ONLY","Yes","item_listingtype_store","400.0","400.0","2","2","2016-08-14","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=182235984254"
"Gast 10 CFM 3/4 Hp Rotary Vane Vacuum Pump Model 1023-101Q","Yes","item_listingtype_store","400.0","400.0","1","1","2016-08-15","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191943152111"
"PFEIFFER Vacuum TC600 Electronic Drive Unit Turbo Pump Controller PM C01 720","Yes","item_listingtype_store","399.99","399.99","1","1","2016-08-15","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=361644065695"
"*BRAND NEW* CPS VPS12DU SERIES SPARK PROOF 2 STAGE 12 CFM VACUUM PUMP PRO-SET!!","Yes","item_listingtype_fixed_price","399.99","399.99","1","5","2016-08-14","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=272312020759"
"3 IN 1 AUTOMATIC SCREEN OCA LAMINATING MACHINE BUILT-IN VACUUM PUMP & COMPRESSOR","Yes","item_listingtype_fixed_price","399.0","399.0","1","23","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=281859381290"
"Automatic LCD Touch Screen Film OCA Laminating Machine With Built-In Vacuum Pump","Yes","item_listingtype_fixed_price","388.55","380.0","1","40","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=252172791348"
