"Item Title","Sold","Format","Start Price","End Price","Total Bids","Item Offered","End Date","Item Url"
"PFEIFFER VACUUM PUMP MOD# DUO-035D   CODE: VAC-233","Yes","item_listingtype_store","296.88","296.88","1","1","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=261785912360"
"Ritchie Yellow Jacket 93600 Bullet 7 CFM Vacuum Pump NIB","Yes","item_listingtype_store","289.95","289.95","1","42","2016-08-10","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=371446856283"
"Ritchie Yellow Jacket 93600 Bullet 7 CFM Vacuum Pump NIB","Yes","item_listingtype_store","289.95","289.95","1","42","2016-08-10","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=371446856283"
"Circulating Water Vacuum Pump Lab Chemistry Equipment Air","Yes","item_listingtype_store","286.0","286.0","1","15","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=251753642787"
"Lab Circulating Water Vacuum Pump Chemistry Equipment Air New a","Yes","item_listingtype_store","286.0","280.0","1","2","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=262081943261"
"Medela Vario Vacuum Pump","Yes","item_listingtype_fixed_price","395.0","275.0","1","1","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=322209862388"
"1 HP WELCH MODEL 1376 DUO-SEAL VACUUM PUMP","Yes","item_listingtype_fixed_price","349.99","275.0","1","1","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=381737234102"
"CPS VP6D 6 CFM 2 Stage Vacuum Pump CPS - Free Shipping","Yes","item_listingtype_fixed_price","275.0","275.0","1","1","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=122075095737"
"Gast 72R645-P112-D303X Rocking Piston Vacuum Pump 115V","Yes","item_listingtype_fixed_price","274.95","274.95","2","3","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=141908322210"
"Robinair (15600) CoolTech Vacuum Pump - 2-Stage  6 CFM","Yes","item_listingtype_bid","209.95","272.95","1","1","2016-08-15","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=291841964974"
"Pro Vac 3 Gallon Vacuum Chamber and ROBINAIR 3 CFM Pump Degassing Silicone it","Yes","item_listingtype_store","269.0","269.0","1","156","2016-08-13","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=301999820090"
"Oil Free Diaphragm Lab Vacuum Pump GM-0.33A 20L/m Pressure Adjustable For Chroma","Yes","item_listingtype_store","263.95","263.95","1","6","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191235809159"
"Edward nEXT 300 vacuum turbo pump spins freely used may need to be rebuilt","Yes","N/A","260.0","260.0","1","1","2016-08-13","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=331940148191"
"Yellow Jacket C55JXHHF-4052 - SuperEvac 6 CFM Vacuum Pump","Yes","item_listingtype_bid","9.99","257.0","1","1","2016-08-10","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=401164910141"
"Robinair 15800 8 CFM 1HP Vacuum Pump","Yes","item_listingtype_fixed_price","254.63","254.63","1","25","2016-08-14","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191858350197"
"Robinair 15800 8 CFM 1HP Vacuum Pump","Yes","item_listingtype_fixed_price","254.63","254.63","1","25","2016-08-16","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=191858350197"
"Gast oil-less Rotary vane vacuum air pump 0523 aerator pond septic 1/4hp 230v","Yes","item_listingtype_store","250.0","250.0","1","1","2016-08-11","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=391385521989"
"Leybold TRIVAC D16B Rotary Vane Vacuum Pump & Marathon 72260117 Motor 3/4HP Used","Yes","item_listingtype_store","329.99","250.0","1","1","2016-08-12","http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&category=&item=232043723307"
